Charlotte,Verizon Wireless Amphitheatre Charlotte,Localeze::BaseRecord,14367393
Charlotte,Time Warner Cable Arena,Localeze::BaseRecord,144419829
Charlotte,Amos' Southend,Localeze::BaseRecord,861359
Charlotte,Tremont Music Hall - Casbah,Localeze::BaseRecord,13863429
Charlotte,Ovens Auditorium,Localeze::BaseRecord,134402693
Charlotte,NC Blumenthal Performing Arts Center,Localeze::BaseRecord,136312368
Charlotte,Charlotte Convention Center,Localeze::BaseRecord,15930104
Charlotte,Visulite Theatre with Old 97's,Localeze::BaseRecord,14472408
Charlotte,The Neighborhood Theatre,Localeze::BaseRecord,56721808
Charlotte,Charlotte's Underground,Localeze::BaseRecord,686677893
Charlotte,Evening Muse,Localeze::BaseRecord,13377755
Charlotte,KISS Lounge,Localeze::BaseRecord,692516195
Charlotte,Paramount's Carowinds Themepark,Localeze::BaseRecord,73664139
Charlotte,Coyote Joe's,Localeze::BaseRecord,3569420
Charlotte,The Evening Muse,Localeze::BaseRecord,13377755
Charlotte,Double Door Inn,Localeze::BaseRecord,691620790
Charlotte,Time Warner Cable Arena (formerly Charlotte Bobcats Arena),Localeze::BaseRecord,137655263
Charlotte,Metrolina Expo Center,Localeze::BaseRecord,67534172
Charlotte,The Charlotte Art League,Localeze::BaseRecord,2760446
Charlotte,Actor's Theatre of Charlotte, The,Localeze::BaseRecord,349540
Charlotte,Salvador Deli,Localeze::BaseRecord,151683130
Charlotte,Cans Bar &amp; Canteen,Localeze::BaseRecord,144419806
